client_id,name,age,location_id,joined_bank,banking_contact,nationality,occupation,fee_structure,loyalty_classification,estimated_income,superannuation_savings,amount_of_credit_cards,credit_card_balance,bank_loans,bank_deposits,checking_accounts,saving_accounts,foreign_currency_account,business_lending,properties_owned,risk_weighting,brid,genderid,iaid,gender,banking_relationship,investment_advisor
IND81288,Raymond Mills,24,34324,2019-05-06,Anthony Torres,American,Safety Technician IV,High,Jade,75384.7686,17677.95,1,484.54400000000004,776242.9184000001,1485828.636672,603617.883648,607332.4552396801,12249.958400000001,1134475.3024000002,1,2,1,1,1,Male,Retail,Victor Dean
IND65833,Julia Spencer,23,42205,2001-12-10,Jonathan Hawkins,African,Software Consultant,High,Jade,289834.314,17398.920000000002,1,2256.8777,1270615.4307000001,641482.7895630001,229521.365073,344635.15740192,61162.3089,2000526.1045000001,1,3,2,1,2,Male,Institutional,Jeremy Porter
IND47499,Stephen Murray,27,7314,2010-01-25,Anthony Berry,European,Help Desk Operator,High,Gold,169935.22520000002,42825.9,2,4568.743799999999,1052715.843,1033401.5934119999,652674.6905759999,203054.34817920002,79071.7794,548137.5815999999,1,3,3,2,3,Female,Private Bank,Ernest Knight
IND72498,Virginia Garza,40,34594,2019-03-28,Steve Diaz,American,Geologist II,Mid,Silver,356808.1125,5473.15,2,4205.000999999999,121195.05699999999,1048157.4937199999,1048157.4937199999,234685.01932559998,57513.651999999995,1148402.292,0,4,4,1,4,Male,Commercial,Eric Shaw
IND60181,Melissa Sanders,46,41269,2012-07-20,Shawn Long,American,Assistant Professor,Mid,Platinum,130711.68000000001,48077.600000000006,1,3779.488,1048301.952,487782.53400000004,446644.24799999996,128351.45232,30012.136,1674412.12,0,3,1,2,5,Female,Retail,Kevin Kim
IND78532,Samuel Hudson,23,13204,2019-02-07,Douglas Tucker,American,Help Desk Technician,High,Silver,118326.96,6028.2,2,5148.5625,601902.4950000001,1307269.4085000004,745627.7367,238310.37143100004,15615.18,1556031.06,1,2,1,1,6,Male,Retail,Victor Rogers
IND95683,Timothy Alexander,46,42910,2002-06-02,Douglas Tucker,Asian,Account Coordinator,High,Gold,57336.473600000005,13929.160000000002,1,959.9016000000001,208909.6884,41200.183332,60588.50490000001,24639.325326000002,3045.7812000000004,154111.61640000003,1,1,1,2,7,Female,Retail,Eugene Cunningham
IND40785,Carl Martin,78,6127,2000-11-03,Steve Diaz,European,Automation Specialist II,Mid,Gold,65125.7984,31077.8,1,4576.5824,1140704.8016000001,156983.13113600004,53889.73158400001,46813.775523840006,51979.189600000005,1171456.6760000002,0,2,2,2,8,Female,Institutional,Joe Carroll
IND13570,Philip Day,67,32656,2015-04-07,Bruce Butler,Asian,Software Test Engineer II,High,Silver,87849.47340000002,9385.35,1,78.624,803444.46,1242347.2151999997,328334.62116,279528.12341999996,27125.280000000002,464560.278,0,1,2,2,9,Female,Institutional,Steve Sanchez
IND53299,Jason Sims,51,28340,1995-11-20,Joe Price,European,Geologist III,Mid,Silver,65369.36,27364.800000000003,3,4836.8640000000005,60027.90400000001,317246.66880000004,111532.032,115869.38880000002,48043.520000000004,908583.936,2,1,3,1,10,Male,Private Bank,Lawrence Sanchez
IND76263,Amy Martinez,55,40459,2014-10-18,Adam Hernandez,European,Administrative Officer,High,Jade,74966.51250000001,16928.73,1,493.31700000000006,214327.82250000004,37979.77342500001,19335.157380000008,52204.92492600001,10539.7875,353119.93200000003,3,1,3,1,11,Male,Private Bank,Peter Castillo
IND56452,David Johnston,73,25563,2005-09-12,Chris Armstrong,American,Database Administrator II,Mid,Jade,111449.05619999998,17480.19,2,392.5875,580468.5059999999,749007.94425,204991.6479,513425.23504799994,22904.908499999994,294397.8464999999,0,2,3,2,12,Female,Private Bank,Victor Gutierrez
IND28766,Wayne Foster,45,35687,2018-03-17,Joshua Ryan,African,Staff Scientist,Low,Silver,115637.18879999999,10848.6,1,5055.308999999999,815250.639,616330.9288499999,208277.34837,138738.21736319998,6336.6449999999995,972455.4629999999,3,1,3,2,13,Female,Private Bank,Daniel Carroll
IND17897,Carlos Moore,44,19554,1996-01-02,Paul Larson,American,Programmer I,High,Jade,124434.77760000003,26146.000000000004,2,5211.370400000001,984792.4968000001,802862.9692280001,263714.11398,174051.31522680004,68855.48760000001,835554.8348000002,0,2,3,2,14,Female,Private Bank,Carl Anderson
IND86325,Lisa Johnston,36,33368,2020-06-05,Mark Montgomery,Asian,Software Test Engineer I,High,Platinum,260795.33759999997,11584.679999999998,1,2866.3361999999997,310876.6206,116399.864217,69072.44689800001,67077.02065427999,48101.125799999994,1136169.2979,1,2,3,1,15,Male,Private Bank,Nicholas Ward
IND74197,Andrew Mills,55,27913,2021-01-06,Shawn Wallace,European,Actuary,Mid,Silver,78892.52010000001,32369.710000000003,1,4882.1292,1510860.6396,317542.21200000006,134344.782,71284.15554,20708.5476,2283081.5748,3,2,3,1,16,Male,Private Bank,Fred Bryant
IND28503,Jack Coleman,61,9505,2014-06-22,Ernest Rivera,Asian,Staff Accountant II,High,Silver,257120.2197,16263.990000000002,1,8614.0584,436988.4390000001,2446251.572376,1273391.229456,253337.83407071998,80698.2588,1128082.1400000001,1,3,4,2,17,Female,Commercial,Ryan Taylor
IND56539,Aaron Day,56,36232,2020-01-19,Gregory Simmons,Asian,Assistant Media Planner,Low,Jade,145704.55380000002,3078.27,1,1895.0568000000003,384153.3696000001,55118.86598400002,25590.902064000005,64095.36701568,10492.372800000003,199617.81840000002,3,1,4,2,18,Female,Commercial,Sean Vasquez
IND53604,Kevin Weaver,43,6299,2019-03-31,Frank Brown,American,Staff Accountant I,Low,Jade,34404.16,19668.4,2,5384.700000000001,1102836.16,204450.828,89694.55680000002,35877.82272,22452.06,1115542.4400000002,3,1,3,2,19,Female,Private Bank,Nicholas Morrison
IND32064,Mary Fox,63,7694,2009-03-09,Adam Hernandez,Australian,Compensation Analyst,Mid,Jade,129060.87740000001,17283.63,1,395.577,1000409.3190000001,966281.3433,472404.21228000004,396819.5383152001,37271.052,1631986.902,2,4,1,2,20,Female,Retail,Jack Phillips
IND72934,Carlos Little,41,38321,2020-04-03,Jonathan Hawkins,American,Geologist I,Low,Jade,129981.31320000002,10242.84,2,2383.8624000000004,373846.68720000004,38406.799296000005,11024.173872000001,25028.430874560006,24422.1048,441603.5328000001,2,1,2,1,21,Male,Institutional,Juan Ramirez
